,year_id,"""Births Mp/y""","""Population below 15 k$/p/y Mp""",Population Mp,Working age population Mp,scenario,Births
83,2063,66.86193753630614,482.9571514215005,8722.327920561116,5911.685834971046,Too Little Too Late,66861937
84,2064,66.03542197105133,537.1227484547563,8706.176616111865,5905.287404247712,Too Little Too Late,66035421
85,2065,65.24270563396873,492.365054621695,8688.4598100717,5897.406555536412,Too Little Too Late,65242705
86,2066,64.34766206776898,378.04563874078,8669.171663958807,5888.372651276937,Too Little Too Late,64347662
87,2067,63.41182283902159,321.5746609585515,8648.28648290218,5878.125822568159,Too Little Too Late,63411822
88,2068,62.57208921428621,293.7880971659202,8625.841824480036,5866.3863161962,Too Little Too Late,62572089
89,2069,61.77810528458415,233.5795331391406,8601.895584198806,5853.258585516222,Too Little Too Late,61778105
90,2070,60.94949441306066,200.5068760998169,8576.464912808306,5838.959298042376,Too Little Too Late,60949494
91,2071,60.16438944849247,234.6877812603655,8549.569939273842,5823.343235757083,Too Little Too Late,60164389
92,2072,59.47007634597824,267.8522728421622,8521.265609223767,5806.290489376614,Too Little Too Late,59470076
93,2073,58.74912093332242,226.5196461713033,8491.588502919678,5788.098840704795,Too Little Too Late,58749120
94,2074,57.94229590368123,196.1968467909969,8460.536584886439,5768.990964629224,Too Little Too Late,57942295
95,2075,57.15835222830828,207.6433181488865,8428.12724590887,5748.751603161769,Too Little Too Late,57158352
96,2076,56.43385207545366,179.5100357632909,8394.410488686764,5727.29137533859,Too Little Too Late,56433852
97,2077,55.67548338331719,109.513872286697,8359.42225645832,5704.89318770976,Too Little Too Late,55675483
98,2078,54.89178772715672,83.7670703787588,8323.186435544634,5681.604935805348,Too Little Too Late,54891787
99,2079,54.18390088566616,96.55263811079786,8285.749466175777,5657.158742214222,Too Little Too Late,54183900
100,2080,53.54169933669512,98.02594007895205,8247.166498684326,5631.563710368664,Too Little Too Late,53541699
101,2081,52.87747007697752,82.91640608074438,8207.47686835383,5605.11387268925,Too Little Too Late,52877470
102,2082,52.194010461807,86.97037791589158,8166.715066361522,5577.866231468824,Too Little Too Late,52194010
103,2083,51.54823598453097,102.4416065158877,8124.924798311466,5549.667931251979,Too Little Too Late,51548235
104,2084,50.91455713447579,85.13389202536092,8082.150184082435,5520.622054803258,Too Little Too Late,50914557
105,2085,50.24305689182465,57.13670741933705,8038.433267038272,5490.96756917478,Too Little Too Late,50243056
106,2086,49.57462014769125,46.07704026841603,7993.822174783343,5460.628207681116,Too Little Too Late,49574620
107,2087,48.95722840411054,39.9815955092059,7948.364560484295,5429.433222748634,Too Little Too Late,48957228
108,2088,48.35849666410914,28.61886945722016,7902.102082972413,5397.515038445286,Too Little Too Late,48358496
109,2089,47.75132904009299,24.44834976065917,7855.080686485126,5365.034310874324,Too Little Too Late,47751329
110,2090,47.17061662657923,32.55996624280301,7807.34691284092,5331.875812272527,Too Little Too Late,47170616
111,2091,46.62654830629275,38.29633534868827,7758.935503243705,5297.98929879572,Too Little Too Late,46626548
112,2092,46.07084604653515,29.12509698881695,7709.883829487505,5263.633922205894,Too Little Too Late,46070846
113,2093,45.49092893753811,24.16786490217519,7660.247627841117,5228.957252271639,Too Little Too Late,45490928
114,2094,44.93140529767944,26.27388014009894,7610.078240773853,5193.780084275414,Too Little Too Late,44931405
115,2095,44.39822288936407,19.18638353088667,7559.406129786569,5158.069271790027,Too Little Too Late,44398222
116,2096,43.85634674352849,9.08342565356785,7508.270472099951,5122.065838491892,Too Little Too Late,43856346
117,2097,43.31389729343243,7.029385342312096,7456.727277272234,5085.789458580546,Too Little Too Late,43313897
118,2098,42.80456172546895,9.747494706768604,7404.809644889907,5049.02687946374,Too Little Too Late,42804561
119,2099,42.3190984750651,10.16027859829712,7352.5264285156,5011.81514465466,Too Little Too Late,42319098
120,2100,41.82492447839333,7.67835345536788,7299.909445991988,4974.425704162098,Too Little Too Late,41824924
